,Rank,Name,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Country/Region
100,Reporter,University of Sri Jayewardenepura,"17,069",23.4,0%,62:38:00,Sri Lanka
101,Reporter,Sri Balaji Vidyapeeth,"3,850",7.4,1%,53:47:00,India
102,Reporter,SR University,"3,238",13.1,0%,49:51:00,India
103,Reporter,University of South Santa Catarina (Unisul),"16,602",18.8,0%,52:48:00,Brazil
104,Reporter,Soran University,"4,596",9.5,0%,50:50:00,Iraq
105,Reporter,University of Sopron,"2,847",14.9,3%,63:37:00,Hungary
106,Reporter,"Solent University, Southampton","8,640",16.1,30%,45:55:00,United Kingdom
107,Reporter,Sokoto State University,"8,244",23.8,0%,25 : 75,Nigeria
108,Reporter,Sir Syed University of Engineering and Technology,"5,879",14.1,0%,0.643055556,Pakistan
109,Reporter,Simón Bolívar University (Colombia),"18,482",18.2,1%,60:40:00,Colombia
110,Reporter,Simón Bolívar University,"4,462",10.5,0%,43:57:00,Venezuela
111,Reporter,Silesian University in Opava,"5,322",20.4,6%,71:29:00,Czech Republic
112,Reporter,Sikkim Manipal University,"3,013",10.5,2%,31 : 69,India
113,Reporter,Shri Mata Vaishno Devi University,"1,805",15.0,0%,40 : 60,India
114,Reporter,Samarkand State Medical University,"7,200",10.2,1%,41:59:00,Uzbekistan
115,Reporter,Shonan Institute of Technology,"2,234",29.4,9%,0.35625,Japan
116,Reporter,The University of Shiga Prefecture,"2,853",14.1,1%,49:51:00,Japan
117,Reporter,Shaheed Zulfiqar Ali Bhutto Medical University,"4,803",8.6,1%,55:45:00,Pakistan
118,Reporter,Shaheed Benazir Bhutto Women University Peshawar,"5,677",38.6,0%,100:00:00,Pakistan
119,Reporter,Senshu University,"17,933",23.0,3%,35 : 65,Japan
120,Reporter,Sefako Makgatho Health Sciences University,"6,306",9.9,1%,62:38:00,South Africa
121,Reporter,University of Science and Technology of Southern Philippines (USTP),"9,222",32.5,0%,60:40:00,Philippines
122,Reporter,SBS Swiss Business School,"1,644",10.3,57%,42:58:00,Switzerland
123,Reporter,Saudi Electronic University,"21,756",24.3,6%,48:52:00,Saudi Arabia
124,Reporter,Satya Wacana Christian University,"16,132",35.5,0%,45:55:00,Indonesia
125,Reporter,University of Santo Tomas,"26,511",13.3,7%,51:49:00,Philippines
126,Reporter,University of San Martín de Porres,"40,234",18.0,0%,61:39:00,Peru
127,Reporter,Universidad San Ignacio de Loyola,"21,556",35.9,1%,51:49:00,Peru
128,Reporter,Samuel Adegboyega University,390,5.4,0%,51:49:00,Nigeria
129,Reporter,Samarkand State Institute of Foreign Languages,"5,010",10.9,0%,74:26:00,Uzbekistan
130,Reporter,Samarkand State University,"15,754",17.2,0%,50:50:00,Uzbekistan
131,Reporter,Samara State Medical University,"7,097",9.4,8%,71:29:00,Russian Federation
132,Reporter,Samara State University of Economics,"4,771",24.5,3%,58:42:00,Russian Federation
133,Reporter,Salem University,513,3.9,1%,40 : 60,Nigeria
134,Reporter,Salahaddin University,"25,189",10.7,1%,55:45:00,Iraq
135,Reporter,Sakon Nakhon Rajabhat University,"9,328",20.1,0%,64:36:00,Thailand
136,Reporter,Saint Petersburg State Pediatric Medical University,"4,894",9.7,11%,73:27:00,Russian Federation
137,Reporter,University of Saint Joseph,"1,141",10.7,24%,62:38:00,Macao
138,,Explore,,,,,University of Sadat City
139,,Egypt,,,,,Ryazan State Medical University
140,,Russian Federation,,,,,Russian University of State for Social (RUSS)
141,,Russian Federation,,,,,Russian State University for the Humanities
142,,Russian Federation,,,,,Russian State Agrarian University  Moscow Timiryazev Agricultural Academy
143,,Russian Federation,,,,,Royal Northern College of Music
144,,United Kingdom,,,,,Royal College of Music
145,,United Kingdom,,,,,Royal Academy of Music
146,,United Kingdom,,,,,Royal Conservatoire of Scotland
147,,United Kingdom,,,,,Royal College of Art
148,,United Kingdom,,,,,"Royal Central School of Speech and Drama, University of London"
149,,United Kingdom,,,,,Royal Agricultural University
150,,United Kingdom,,,,,Rostov State University of Economics
151,,Russian Federation,,,,,Rose Bruford College
152,,United Kingdom,,,,,REVA University
153,,India,,,,,Rennes School of Business
154,,France,,,,,Rawalpindi Medical University
155,,Pakistan,,,,,Ravensbourne
156,,United Kingdom,,,,,Rajamangala University of Technology Isan
157,,Thailand,,,,,Queen Margaret University
158,,United Kingdom,,,,,University of Puthisastra
159,,Cambodia,,,,,"University of Professional Studies, Accra"
160,,Ghana,,,,,Prince Sultan University (PSU)
161,,Saudi Arabia,,,,,Explore
162,Reporter,Prefectural University of Hiroshima,"2,623",12.3,2%,65:35:00,Japan
163,Reporter,Universidad Popular Autónoma del Estado de Puebla,"11,279",16.1,1%,60:40:00,Mexico
164,Reporter,Polytechnic Institute of Setúbal,"7,829",17.3,6%,54:46:00,Portugal
165,Reporter,Poltava V.G. Korolenko National Pedagogical University (PNPU),"3,812",5.8,0%,51:49:00,Ukraine
166,Reporter,Polytechnic University of Tirana,"8,591",16.2,2%,,Albania
167,Reporter,Plymouth Marjon University,"1,845",18.5,3%,61:39:00,United Kingdom
168,Reporter,Philadelphia University (Jordan),"3,615",20.1,36%,41:59:00,Jordan
169,Reporter,University of Phayao,"18,057",20.7,0%,68:32:00,Thailand
170,Reporter,Pharos University,"11,106",14.1,6%,49:51:00,Egypt
171,Reporter,University of Petra,"6,538",19.9,21%,57:43:00,Jordan
172,Reporter,Pavlo Tychyna Uman State Pedagogical University,"9,149",17.5,2%,32 : 68,Ukraine
173,Reporter,Paris University of International Education,445,29.7,100%,32 : 68,France
174,Reporter,Panteion University of Social and Political Sciences,"12,615",62.5,2%,52:48:00,Greece
175,Reporter,Palestine Technical University  Kadoorie,"7,013",18.3,4%,59:41:00,Palestine
176,Reporter,Palestine Polytechnic University,"4,812",27.0,3%,55:45:00,Palestine
177,Reporter,Ostrogradsky National University of Kremenchuk,"4,106",11.8,0%,38 : 62,Ukraine
178,Reporter,ORT Uruguay University,"4,151",6.7,2%,47:53:00,Uruguay
179,Reporter,Orel State University named after I.S. Turgenev,"11,549",13.3,15%,56:44:00,Russian Federation
180,Reporter,Orel State Agrarian University named after N.V. Parahin,"1,769",11.6,16%,42:58:00,Russian Federation
181,Reporter,Omsk State Agrarian University,"4,838",18.1,13%,55:45:00,Russian Federation
182,Reporter,Olusegun Agagu University of Science and Technology,"6,474",29.4,0%,28 : 72,Nigeria
183,Reporter,Oguz Han Engineering and Technology University of Turkmenistan,"2,223",13.2,0%,52:48:00,Turkmenistan
184,Reporter,October 6 University,"25,927",20.8,3%,49:51:00,Egypt
185,Reporter,Nursing School of Coimbra,"2,138",23.0,7%,85:15:00,Portugal
186,Reporter,Novosibirsk State University of Economics and Management,"3,717",8.4,16%,72:28:00,Russian Federation
187,Reporter,Novena University,"1,981",25.4,0%,42:58:00,Nigeria
188,Reporter,University of Nova Gorica,416,3.5,54%,48:52:00,Slovenia
189,Reporter,Norwich University of the Arts,"2,290",15.8,13%,61:39:00,United Kingdom
190,Reporter,Northern Technical University,"21,400",27.5,0%,48:52:00,Iraq
191,Reporter,Northeast Ohio Medical University,955,11.8,0%,54:46:00,United States
192,Reporter,University of Northampton,"9,945",16.9,33%,64:36:00,United Kingdom
193,Reporter,Nitte (Deemed to be University),"4,408",7.7,1%,65:35:00,India
194,Reporter,Ninevah University,"3,707",13.6,0%,42:58:00,Iraq
195,Reporter,Nile University,"2,168",14.4,2%,28 : 72,Egypt
196,Reporter,University of Niigata Prefecture,"1,196",14.8,1%,76:24:00,Japan
197,Reporter,Niigata University of Health and Welfare,"4,410",17.2,0%,51:49:00,Japan
198,Reporter,Nihon Pharmaceutical University,"1,618",18.4,4%,48:52:00,Japan
199,Reporter,"Nigerian Police Academy, Wudil","3,087",21.9,0%,0.725,Nigeria
200,Reporter,Niger Delta University,"20,608",25.9,0%,45:55:00,Nigeria
201,Reporter,Newman University,"2,325",17.9,12%,76:24:00,United Kingdom
202,Reporter,Universitas Negeri Surabaya,"29,840",24.5,0%,64:36:00,Indonesia
203,Reporter,Navoi State Pedagogical Institute,"12,791",26.4,0%,72:28:00,Uzbekistan
204,Reporter,National University Yuri Kondrautyuk Poltava Polytechnic,"5,067",8.1,10%,49:51:00,Ukraine
205,Reporter,National University of Water and Environmental Engineering,"4,344",9.8,3%,34 : 66,Ukraine
206,Reporter,National Transport University,"7,262",11.5,2%,31 : 69,Ukraine
207,Reporter,National Taichung University of Science and Technology,"15,512",14.9,1%,70:30:00,Taiwan
208,Reporter,"National University, Sudan","5,132",12.3,6%,60:40:00,Sudan
209,Reporter,"National University of Science and Technology, Oman","3,986",18.8,14%,63:37:00,Oman
210,Reporter,National University of Quilmes,"33,703",27.3,2%,57:43:00,Argentina
211,Reporter,National Polytechnic University of Armenia,"5,742",8.7,2%,0.888888889,Armenia
212,Reporter,The National University of Ostroh Academy,"3,432",8.8,1%,57:43:00,Ukraine
213,Reporter,National University Odessa Law Academy,"10,503",17.7,1%,60:40:00,Ukraine
214,Reporter,National University of Mongolia,"18,647",26.5,2%,60:40:00,Mongolia
215,Reporter,National University of Medical Sciences (NUMS),"1,654",5.0,0%,72:28:00,Pakistan
216,Reporter,National Film and Television School,395,7.2,42%,50:50:00,United Kingdom
217,Reporter,National University of Computer and Emerging Sciences,"8,291",14.8,2%,0.970833333,Pakistan
218,Reporter,National Aviation University,"14,239",10.9,5%,39 : 61,Ukraine
219,Reporter,Nara Womens University,"2,612",6.2,5%,100:00:00,Japan
220,Reporter,Nara Institute of Science and Technology,"1,043",5.1,24%,1.011805556,Japan
221,Reporter,Namangan State University,"20,636",31.9,0%,66:34:00,Uzbekistan
222,Reporter,Namangan Institute of Engineering and Technology,"5,784",18.1,0%,0.929861111,Uzbekistan
223,Reporter,Namangan Engineering Construction Institute,"3,881",11.8,0%,0.806944444,Uzbekistan
224,Reporter,Nakhchivan State University,"7,620",14.1,20%,46:54:00,Azerbaijan
225,Reporter,Najran University,"17,967",16.9,1%,69:31:00,Saudi Arabia
226,Reporter,Nagoya University of Commerce & Business,"3,549",29.9,8%,25 : 75,Japan
227,Reporter,Universidad Nacional de Itapúa,"5,595",5.3,0%,59:41:00,Paraguay
228,Reporter,Universidad Nacional de Chimborazo,"8,478",14.7,1%,57:43:00,Ecuador
229,Reporter,Mutah University,"11,486",16.1,15%,46:54:00,Jordan
230,Reporter,Mulungushi University,"6,988",54.6,0%,41:59:00,Zambia
231,Reporter,Mukogawa Womens University,"8,394",26.4,0%,100:00:00,Japan
232,Reporter,Muban Chombueng Rajabhat University,"4,951",17.9,0%,62:38:00,Thailand
233,Reporter,October University for Modern Sciences and Arts (MSA),"12,444",11.4,2%,50:50:00,Egypt
234,Reporter,Moscow State Linguistic University,"6,173",6.5,7%,74:26:00,Russian Federation
235,Reporter,Russian Biotechnological University (BIOTECH),"5,103",9.4,9%,59:41:00,Russian Federation
236,Reporter,Moscow Pedagogical State University,"16,779",18.7,13%,74:26:00,Russian Federation
237,Reporter,University of Monterrey,"10,814",31.2,1%,61:39:00,Mexico
238,Reporter,Universidad Monteávila,"1,054",5.7,0%,71:29:00,Venezuela
239,Reporter,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,"18,000",30.9,0%,100:00:00,Algeria
240,Reporter,Modern University for Business and Science,"1,896",16.9,31%,47:53:00,Lebanon
241,Reporter,"MNS University of Agriculture, Multan","3,266",23.5,0%,0.970833333,Pakistan
242,Reporter,M. Kumarasamy College of Engineering,"3,772",11.7,0%,27 : 73,India
243,Reporter,Mahatma Jyotiba Phule Rohilkhand University,"3,999",20.1,0%,31 : 69,India
244,Reporter,Misr University for Science and Technology,"24,742",18.8,6%,47:53:00,Egypt
245,Reporter,University of Misan,"11,855",15.0,0%,51:49:00,Iraq
246,Reporter,Mirpur University of Science and Technology,"7,544",19.8,0%,44:56:00,Pakistan
247,Reporter,MIOTI Tech and Business School,115,38.3,9%,31 : 69,Spain
248,Reporter,Mindanao State University  Iligan Institute of Technology,"9,348",18.6,0%,60:40:00,Philippines
249,Reporter,Middle Technical University,"37,101",26.7,0%,45:55:00,Iraq
250,Reporter,"Michael Okpara University of Agriculture, Umudike","23,198",21.7,0%,41:59:00,Nigeria
251,Reporter,Michael and Cecilia Ibru University,405,6.9,0%,41:59:00,Nigeria
252,Reporter,Meikai University,"4,326",16.1,17%,43:57:00,Japan
253,Reporter,University of Medellín,"9,371",17.6,2%,54:46:00,Colombia
254,Reporter,Universidad Mayor,"20,330",11.0,2%,57:43:00,Chile
255,Reporter,University of Mascara,"21,682",12.0,0%,61:39:00,Algeria
256,Reporter,Maritime University of Szczecin,"2,559",24.7,13%,26 : 74,Poland
257,Reporter,Marian College Kuttikkanam (Autonomous),"1,755",17.0,0%,52:48:00,India
258,Reporter,Management Development Institute (MDI),982,12.8,0%,0.929861111,India
259,Reporter,Malawi University of Science and Technology (MUST),"2,356",12.3,0%,28 : 72,Malawi
260,Reporter,Universidad Loyola,"3,319",13.3,4%,65:35:00,Spain
261,Reporter,University of Los Lagos,"5,567",16.6,0%,58:42:00,Chile
262,Reporter,London Metropolitan University,"8,260",21.5,45%,66:34:00,United Kingdom
263,Reporter,London School of Hygiene and Tropical Medicine,825,1.8,62%,70:30:00,United Kingdom
264,Reporter,London Business School,"1,995",18.1,91%,38 : 62,United Kingdom
265,Reporter,Loei Rajabhat University,"7,433",19.6,0%,70:30:00,Thailand
266,Reporter,The LNM Institute of Information Technology,"2,136",22.3,0%,0.765972222,India
267,Reporter,Liverpool School of Tropical Medicine,210,2.2,39%,65:35:00,United Kingdom
268,Reporter,Liverpool Institute for Performing Arts,865,17.3,23%,57:43:00,United Kingdom
269,Reporter,Liverpool Hope University,"4,025",15.2,13%,67:33:00,United Kingdom
270,Reporter,University of Liberal Arts Bangladesh,"4,475",20.2,0%,49:51:00,Bangladesh
271,Reporter,Lesya Ukrainka Volyn National University,"8,039",10.1,1%,68:32:00,Ukraine
272,Reporter,Koya University,"4,536",9.4,1%,50:50:00,Iraq
273,Reporter,Leeds Trinity University,"3,230",24.8,9%,65:35:00,United Kingdom
274,Reporter,Leeds Conservatoire,"1,260",19.4,12%,33 : 67,United Kingdom
275,Reporter,Leeds Arts University,"2,065",15.3,12%,76:24:00,United Kingdom
276,Reporter,University of Las Américas (UDLA),"12,767",13.7,1%,54:46:00,Ecuador
277,Reporter,La Salle University,"9,869",20.1,1%,55:45:00,Colombia
278,Reporter,Landmark University,"3,429",13.4,0%,34 : 66,Nigeria
279,Reporter,University of Lampung,"25,782",19.9,0%,50:50:00,Indonesia
280,Reporter,Knowledge University,"2,125",16.6,1%,47:53:00,Iraq
281,Reporter,Lagos State University,"28,289",37.1,0%,50:50:00,Nigeria
282,Reporter,University of Laghouat,"34,345",35.2,0%,51:49:00,Algeria
283,Reporter,Kyrgyz-Turkish Manas University,"5,448",14.5,17%,72:28:00,Kyrgyzstan
284,Reporter,Kyoai Gakuen University,"1,089",19.4,4%,66:34:00,Japan
285,Reporter,Kyiv National Economic University,"10,585",9.4,2%,61:39:00,Ukraine
286,Reporter,KTO Karatay University,"8,370",26.2,3%,58:42:00,Turkey
287,Reporter,Konya Technical University,"13,016",30.1,4%,26 : 74,Turkey
288,Reporter,Konan Womens University,"4,416",24.7,1%,100:00:00,Japan
289,Reporter,Kokshetau State University,"7,047",11.3,5%,65:35:00,Kazakhstan
290,Reporter,Kocaeli Health and Technology University,"2,784",31.6,4%,66:34:00,Turkey
291,Reporter,Kobe Gakuin University,"11,557",34.3,2%,38 : 62,Japan
292,Reporter,Kobe City University of Foreign Studies,"2,287",15.3,4%,67:33:00,Japan
293,Reporter,Kitami Institute of Technology,"1,965",14.1,4%,0.602083333,Japan
294,Reporter,University of Kirkuk,"22,867",24.8,0%,52:48:00,Iraq
295,Reporter,Kings University,132,3.3,0%,42:58:00,Nigeria
296,Reporter,Khyber Medical University,"4,364",16.5,3%,40 : 60,Pakistan
297,Reporter,Khwaja Fareed University of Engineering and Information Technology,"10,713",21.6,0%,41:59:00,Pakistan
298,Reporter,Khulna University,"5,921",11.8,0%,41:59:00,Bangladesh
299,Reporter,Khomein University of Medical Sciences,782,31.3,0%,48:52:00,Iran
300,Reporter,Khazar University,"2,610",11.3,7%,54:46:00,Azerbaijan
301,Reporter,Kadir Has University,"4,896",23.5,3%,53:47:00,Turkey
302,,Explore,,,,,Kharkiv University of Humanities Peoples Ukrainian Academy
303,,Ukraine,,,,,Kermanshah University of Technology
304,,Iran,,,,,University of Kerbala
305,,Iraq,,,,,University of Kelaniya
306,,Sri Lanka,,,,,Kazan State Power Engineering University
307,,Russian Federation,,,,,Kazakh National Pedagogical University Abai
308,,Kazakhstan,,,,,Kastamonu University
309,,Turkey,,,,,Karshi State University
310,,Uzbekistan,,,,,Karaganda University of Kazpotrebsoyuz
311,,Kazakhstan,,,,,Kampala International University
312,,Uganda,,,,,Kamianets-Pod?lskyi Ivan Ohiienko National University
313,,Ukraine,,,,,Kabardino-Balkarian State University
314,,Russian Federation,,,,,University of Jos
315,,Nigeria,,,,,University of Jijel
316,,Algeria,,,,,Jerash Private University
317,,Jordan,,,,,Jashore University of Science and Technology
318,,Bangladesh,,,,,Japan Advanced Institute of Science and Technology (JAIST)
319,,Japan,,,,,Jabir ibn Hayyan Medical University
320,,Iraq,,,,,Ivanovo State University
321,,Russian Federation,,,,,Universita IULM
322,,Italy,,,,,Explore
323,Reporter,IUBAT  International University of Business Agriculture and Technology,"6,435",22.1,1%,30 : 70,Bangladesh
324,Reporter,Istanbul Geli?im University,"18,774",23.4,15%,46:54:00,Turkey
325,Reporter,Istanbul Ayd?n University,"27,826",27.9,13%,51:49:00,Turkey
326,Reporter,Israel Technological University,"3,070",34.9,1%,42:58:00,Ecuador
327,Reporter,Isra University,"4,864",19.6,18%,54:46:00,Jordan
328,Reporter,Islamic University of Madinah,"11,703",7.7,75%,0.233333333,Saudi Arabia
329,Reporter,Islamic University of Gaza,"17,058",47.0,1%,60:40:00,Palestine
330,Reporter,The Islamic University,"4,152",9.1,2%,70:30:00,Iraq
331,Reporter,Islamia College Peshawar,"6,732",25.5,3%,27 : 73,Pakistan
332,Reporter,Ion Mincu University of Architecture and Urbanism,"3,173",12.8,4%,71:29:00,Romania
333,Reporter,Ionian University,"8,169",41.9,3%,53:47:00,Greece
334,Reporter,International University of Rabat,"5,830",33.3,2%,51:49:00,Morocco
335,Reporter,International Christian University,"2,913",12.6,11%,61:39:00,Japan
336,Reporter,Institute of Cancer Research,195,2.8,33%,62:38:00,United Kingdom
337,Reporter,Innopolis University,823,15.8,32%,0.725,Russian Federation
338,Reporter,Indira Gandhi Delhi Technical University for Women,"3,673",53.2,0%,100:00:00,India
339,Reporter,IMT Mines Alès,"1,425",12.8,15%,31 : 69,France
340,Reporter,Ilma University,"4,107",22.4,0%,0.929861111,Pakistan
341,Reporter,Ignatius Ajuru University of Education,"29,785",75.2,0%,49:51:00,Nigeria
342,Reporter,IFHE Hyderabad,"6,931",20.3,0%,39 : 61,India
343,Reporter,Hyogo University of Teacher Education,"1,161",8.0,2%,68:32:00,Japan
344,Reporter,University of Human Development,"2,583",17.1,3%,49:51:00,Iraq
345,Reporter,Huachiew Chalermprakiet University,"7,297",16.0,7%,79:21:00,Thailand
346,Reporter,Hitotsubashi University,"6,212",17.0,15%,32 : 68,Japan
347,Reporter,Hiroshima Institute of Technology,"4,628",25.4,0%,0.479166667,Japan
348,Reporter,Hiroshima Shudo University,"4,776",16.6,0%,39 : 61,Japan
349,Reporter,Hindustan Institute of Technology and Science,"6,033",12.1,1%,36 : 64,India
